t,output
0.688,0.48413178
0.689,0.48548448
0.69,0.48683771
0.691,0.48819146
0.692,0.4895457
0.693,0.49090046
0.694,0.4922557
0.695,0.4936114
0.696,0.49496758
0.697,0.49632424
0.698,0.49768135
0.699,0.4990389
0.7,0.5003969
0.701,0.50175536
0.702,0.5031142
0.703,0.5044735
0.704,0.5058332
0.705,0.5071933
0.706,0.5085538
0.707,0.5099147
0.708,0.51127595
0.709,0.51263756
0.71,0.5139995
0.711,0.51536185
0.712,0.5167245
0.713,0.51808757
0.714,0.5194509
0.715,0.52081454
0.716,0.52217853
0.717,0.5235428
0.718,0.5249074
0.719,0.5262723
0.72,0.5276374
0.721,0.52900285
0.722,0.5303685
0.723,0.53173447
0.724,0.53310066
0.725,0.5344671
0.726,0.5358338
0.727,0.5372007
0.728,0.5385678
0.729,0.5399351
0.73,0.5413026
0.731,0.5426703
0.732,0.5440382
0.733,0.5454062
0.734,0.54677445
0.735,0.54814285
0.736,0.54951143
0.737,0.55088013
0.738,0.55224895
0.739,0.5536179
0.74,0.55498695
0.741,0.55635613
0.742,0.5577254
0.743,0.55909485
0.744,0.5604643
0.745,0.5618339
0.746,0.5632036
0.747,0.5645733
0.748,0.56594306
0.749,0.5673129
0.75,0.5686828
0.751,0.5700527
0.752,0.57142264
0.753,0.5727926
0.754,0.57416254
0.755,0.5755325
0.756,0.57690245
0.757,0.5782724
0.758,0.57964236
0.759,0.58101225
0.76,0.5823821
0.761,0.5837519
0.762,0.5851217
0.763,0.5864914
0.764,0.58786106
0.765,0.5892306
0.766,0.5906001
0.767,0.59196943
0.768,0.5933387
0.769,0.5947079
0.77,0.59607697
0.771,0.5974459
0.772,0.5988147
0.773,0.6001834
0.774,0.60155195
0.775,0.60292035
0.776,0.6042886
0.777,0.6056566
0.778,0.6070245
0.779,0.6083922
0.78,0.6097597
0.781,0.61112696
0.782,0.61249405
0.783,0.6138609
0.784,0.6152276
0.785,0.616594
0.786,0.6179602
0.787,0.6193262
0.788,0.62069184
0.789,0.62205726
0.79,0.6234224
0.791,0.6247873
0.792,0.62615186
0.793,0.62751615
0.794,0.62888014
0.795,0.63024384
0.796,0.63160723
0.797,0.6329703
0.798,0.634333
0.799,0.6356954
0.8,0.6370574
0.801,0.6384191
0.802,0.6397804
0.803,0.64114136
0.804,0.64250195
0.805,0.6438621
0.806,0.64522195
0.807,0.64658135
0.808,0.64794034
0.809,0.6492989
0.81,0.65065706
0.811,0.6520148
0.812,0.6533721
0.813,0.65472895
0.814,0.6560854
0.815,0.6574413
0.816,0.6587968
0.817,0.6601518
0.818,0.6615063
0.819,0.66286033
0.82,0.6642139
0.821,0.6655669
0.822,0.66691947
0.823,0.6682715
0.824,0.66962296
0.825,0.6709739
0.826,0.6723243
0.827,0.67367417
0.828,0.6750235
0.829,0.67637223
0.83,0.6777204
0.831,0.679068
0.832,0.68041503
0.833,0.68176144
0.834,0.68310726
0.835,0.6844525
0.836,0.6857971
0.837,0.68714106
0.838,0.68848443
0.839,0.68982714
0.84,0.6911692
0.841,0.6925106
0.842,0.69385135
